lat,lon,global_avg,direct_avg,diffuse_avg,clarity_ratio
56.1,13.0,2750.04,1199.36,367.65,0.44
56.1,13.1,2707.53,1180.4,342.17,0.44
56.1,13.2,2648.67,1156.21,332.78,0.44
56.1,13.3,2653.32,1159.03,335.34,0.44
56.1,13.4,2641.32,1153.19,311.04,0.44
56.1,13.5,2670.42,1164.74,322.79,0.44
56.1,13.6,2690.23,1173.63,306.77,0.44
56.1,13.7,2693.39,1176.45,304.98,0.44
56.1,13.8,2695.19,1176.92,298.38,0.44
56.1,13.9,2723.49,1190.83,332.69,0.44
56.1,14.0,2747.6,1202.9,338.42,0.44
56.1,14.1,2786.1,1219.94,347.89,0.44
56.1,14.2,2799.98,1226.57,353.69,0.44
56.1,14.3,2804.12,1228.11,344.18,0.44
56.1,14.4,2886.43,1266.43,351.23,0.44
56.1,14.5,2805.81,1227.48,333.27,0.44
56.2,12.7,2954.47,1287.99,416.96,0.44
56.2,12.8,2921.59,1273.78,418.07,0.44
56.2,12.9,2870.16,1251.61,415.43,0.44
56.2,13.0,2815.64,1228.48,396.42,0.44
56.2,13.1,2762.0,1204.35,376.43,0.44
56.2,13.2,2733.14,1191.15,366.59,0.44
56.2,13.3,2704.43,1178.68,354.65,0.44
56.2,13.4,2667.67,1163.0,325.1,0.44
56.2,13.5,2663.2,1161.56,309.75,0.44
56.2,13.6,2676.92,1168.57,312.63,0.44
56.2,13.7,2664.41,1164.86,304.48,0.44
56.2,13.8,2660.72,1164.23,305.01,0.44
56.2,13.9,2715.08,1187.86,322.18,0.44
56.2,14.0,2756.8,1205.73,338.81,0.44
56.2,14.1,2777.98,1215.83,342.89,0.44
56.2,14.2,2812.74,1230.17,355.09,0.44
56.2,14.3,2804.25,1225.13,358.78,0.44
56.2,14.4,2773.68,1210.41,346.72,0.44
56.2,14.5,2766.41,1207.67,341.49,0.44
56.2,14.6,2776.02,1211.97,352.47,0.44
56.2,14.7,2763.87,1207.31,345.0,0.44
56.2,14.8,2833.88,1237.73,353.89,0.44
56.2,14.9,2895.28,1264.5,357.98,0.44
56.2,15.0,2919.4,1275.51,348.23,0.44
56.2,15.1,2913.98,1273.08,335.72,0.44
56.2,15.2,2921.55,1275.32,353.64,0.44
56.2,15.3,2904.69,1268.17,351.99,0.44
56.2,15.4,2878.13,1256.3,340.31,0.44
56.2,15.5,2836.08,1237.53,324.46,0.44
56.2,15.6,2822.19,1233.0,319.77,0.44
56.2,15.7,2781.6,1213.71,319.26,0.44
56.2,15.8,2785.3,1214.92,321.07,0.44
56.2,15.9,2847.33,1241.95,347.34,0.44
56.3,12.7,3107.42,1358.32,480.58,0.44
56.3,12.8,2997.85,1309.68,417.32,0.44
56.3,12.9,2928.45,1276.4,404.42,0.44
56.3,13.0,2832.24,1233.33,385.67,0.44
56.3,13.1,2775.71,1208.53,374.12,0.44
56.3,13.2,2725.75,1186.53,358.08,0.44
56.3,13.3,2680.4,1168.47,337.15,0.44
56.3,13.4,2637.22,1150.24,323.48,0.44
56.3,13.5,2591.53,1130.55,305.5,0.44
56.3,13.6,2571.96,1122.41,302.41,0.44
56.3,13.7,2579.94,1127.16,304.38,0.44
56.3,13.8,2592.86,1132.87,309.25,0.44
56.3,13.9,2623.46,1145.91,319.29,0.44
56.3,14.0,2667.22,1165.05,328.13,0.44
56.3,14.1,2707.47,1182.99,341.48,0.44
56.3,14.2,2716.93,1186.54,336.02,0.44
56.3,14.3,2707.01,1181.45,330.02,0.44
56.3,14.4,2708.59,1183.91,326.17,0.44
56.3,14.5,2657.88,1159.84,318.43,0.44
56.3,14.6,2669.04,1163.44,317.72,0.44
56.3,14.7,2717.77,1184.36,333.73,0.44
56.3,14.8,2765.07,1205.09,351.66,0.44
56.3,14.9,2820.62,1229.79,350.99,0.44
56.3,15.0,2847.11,1241.77,347.62,0.44
56.3,15.1,2872.57,1253.2,350.23,0.44
56.3,15.2,2905.06,1267.87,350.29,0.44
56.3,15.3,2906.29,1267.83,354.37,0.44
56.3,15.4,2871.57,1252.23,347.29,0.44
56.3,15.5,2823.32,1230.91,327.18,0.44
56.3,15.6,2796.56,1217.85,331.69,0.44
56.3,15.7,2785.4,1213.01,323.72,0.44
56.3,15.8,2804.62,1221.48,339.45,0.44
56.3,15.9,2816.97,1227.26,344.12,0.44
56.4,12.6,3193.19,1394.77,506.95,0.44
56.4,12.7,3091.9,1346.57,468.06,0.44
56.4,12.8,2986.62,1298.03,414.6,0.43
56.4,12.9,2878.57,1250.33,392.33,0.43
56.4,13.0,2830.19,1230.19,380.98,0.43
56.4,13.1,2795.48,1217.15,369.32,0.44
56.4,13.2,2661.14,1159.97,344.2,0.44
56.4,13.3,2590.42,1128.5,335.98,0.44
56.4,13.4,2534.89,1104.12,319.99,0.44
56.4,13.5,2504.15,1091.39,317.87,0.44
56.4,13.6,2528.3,1101.97,328.18,0.44
56.4,13.7,2563.38,1116.86,331.54,0.44
56.4,13.8,2555.95,1113.89,316.4,0.44
56.4,13.9,2550.12,1112.37,303.95,0.44
56.4,14.0,2574.87,1124.08,296.94,0.44
56.4,14.1,2613.33,1139.81,296.73,0.44
56.4,14.2,2621.22,1142.4,310.48,0.44
56.4,14.3,2617.81,1140.45,310.11,0.44
56.4,14.4,2675.75,1164.98,325.06,0.44
56.4,14.5,2699.25,1174.33,332.71,0.44
56.4,14.6,2719.95,1182.88,341.46,0.43
56.4,14.7,2710.5,1179.0,330.27,0.43
56.4,14.8,2784.43,1212.62,339.08,0.44
56.4,14.9,2909.5,1267.96,381.99,0.44
56.4,15.0,2837.66,1234.83,366.57,0.44
56.4,15.1,2862.98,1246.22,375.52,0.44
56.4,15.2,2856.59,1243.63,371.53,0.44
56.4,15.3,2824.96,1230.02,355.53,0.44
56.4,15.4,2810.92,1223.76,349.84,0.44
56.4,15.5,2772.54,1206.77,334.27,0.44
56.4,15.6,2770.39,1205.35,343.46,0.44
56.4,15.7,2803.32,1219.54,346.02,0.44
56.4,15.8,2820.42,1227.43,353.38,0.44
56.4,15.9,2804.38,1221.48,348.58,0.44
56.4,16.0,2840.84,1239.0,352.42,0.44
56.5,12.5,3202.25,1398.42,527.6,0.44
56.5,12.6,3199.42,1397.93,514.27,0.44
56.5,12.7,3169.58,1384.49,511.3,0.44
56.5,12.8,3097.16,1354.14,493.05,0.44
56.5,12.9,3025.25,1321.92,452.47,0.44
56.5,13.0,2901.93,1264.32,400.1,0.44
56.5,13.1,2798.48,1219.33,371.3,0.44
56.5,13.2,2630.97,1145.99,348.5,0.44
56.5,13.3,2584.1,1124.27,344.08,0.44
56.5,13.4,2554.25,1111.39,333.69,0.44
56.5,13.5,2564.25,1115.96,341.79,0.44
56.5,13.6,2554.98,1112.53,339.2,0.44
56.5,13.7,2558.08,1113.43,333.11,0.44
56.5,13.8,2535.19,1103.49,324.94,0.44
56.5,13.9,2514.28,1095.07,308.63,0.44
56.5,14.0,2570.55,1119.97,299.73,0.44
56.5,14.1,2639.43,1149.08,316.41,0.44
56.5,14.2,2624.91,1142.45,312.12,0.44
56.5,14.3,2625.78,1142.06,310.73,0.43
56.5,14.4,2646.5,1150.1,317.94,0.43
56.5,14.5,2667.14,1158.39,317.44,0.43
56.5,14.6,2687.01,1167.28,322.45,0.43
56.5,14.7,2748.03,1193.71,341.93,0.43
56.5,14.8,2777.0,1206.38,356.06,0.43
56.5,14.9,2807.92,1219.88,372.05,0.43
56.5,15.0,2822.0,1226.84,381.47,0.43
56.5,15.1,2818.87,1225.65,372.75,0.43
56.5,15.2,2814.5,1223.48,372.57,0.43
56.5,15.3,2815.41,1224.42,365.19,0.43
56.5,15.4,2801.97,1218.25,356.07,0.43
56.5,15.5,2782.82,1209.97,353.08,0.43
56.5,15.6,2803.07,1218.47,363.84,0.43
56.5,15.7,2811.22,1222.37,356.59,0.43
56.5,15.8,2819.24,1226.12,362.89,0.43
56.5,15.9,2845.73,1238.66,372.11,0.44
56.5,16.0,2846.09,1240.15,371.72,0.44
56.5,16.1,2835.35,1235.79,358.51,0.44
56.6,12.5,3128.21,1365.14,492.63,0.44
56.6,12.6,3126.38,1364.9,493.12,0.44
56.6,12.7,3150.34,1375.64,506.02,0.44
56.6,12.8,3078.87,1345.44,488.15,0.44
56.6,12.9,2977.96,1299.49,431.51,0.44
56.6,13.0,2856.34,1243.66,404.12,0.44
56.6,13.1,2756.41,1199.26,377.09,0.44
56.6,13.2,2691.01,1170.31,366.68,0.43
56.6,13.3,2632.98,1144.38,370.25,0.43
56.6,13.4,2616.68,1136.83,366.83,0.43
56.6,13.5,2628.54,1142.56,360.67,0.43
56.6,13.6,2619.82,1139.07,349.93,0.43
56.6,13.7,2619.89,1139.02,339.4,0.43
56.6,13.8,2579.52,1121.98,322.32,0.43
56.6,13.9,2589.39,1126.56,333.4,0.44
56.6,14.0,2602.11,1131.8,333.21,0.43
56.6,14.1,2612.64,1136.88,327.0,0.44
56.6,14.2,2698.28,1172.92,330.72,0.43
56.6,14.3,2628.64,1143.18,305.29,0.43
56.6,14.4,2632.66,1144.56,300.5,0.43
56.6,14.5,2640.29,1147.18,302.31,0.43
56.6,14.6,2669.0,1160.48,318.9,0.43
56.6,14.7,2996.03,1308.32,387.83,0.44
56.6,14.8,2961.48,1291.86,396.62,0.44
56.6,14.9,2780.94,1209.49,361.73,0.43
56.6,15.0,2772.79,1205.86,360.11,0.43
56.6,15.1,2779.1,1207.31,362.88,0.43
56.6,15.2,2815.28,1223.03,370.73,0.43
56.6,15.3,2808.77,1219.51,370.93,0.43
56.6,15.4,2824.52,1226.16,367.12,0.43
56.6,15.5,2794.38,1213.17,369.52,0.43
56.6,15.6,2784.88,1209.76,359.68,0.43
56.6,15.7,2808.83,1220.46,363.09,0.43
56.6,15.8,2817.93,1225.12,370.67,0.43
56.6,15.9,2856.64,1242.27,378.87,0.43
56.6,16.0,2874.32,1251.13,381.31,0.44
56.6,16.1,2871.59,1251.08,389.07,0.44
56.7,12.4,3103.17,1352.83,477.53,0.44
56.7,12.5,3072.35,1340.11,472.01,0.44
56.7,12.6,3063.3,1336.96,469.99,0.44
56.7,12.7,3094.49,1348.92,462.53,0.44
56.7,12.8,3021.11,1314.42,429.65,0.44
56.7,12.9,2922.33,1272.54,412.71,0.44
56.7,13.0,2870.93,1248.84,403.85,0.43
56.7,13.1,2802.74,1219.32,388.94,0.44
56.7,13.2,2725.72,1184.13,381.75,0.43
56.7,13.3,2710.24,1177.21,382.42,0.43
56.7,13.4,2629.57,1142.84,359.07,0.43
56.7,13.5,2614.63,1136.32,336.88,0.43
56.7,13.6,2643.24,1150.07,333.78,0.44
56.7,13.7,2629.89,1142.69,340.89,0.43
56.7,13.8,2664.44,1157.46,342.81,0.43
56.7,13.9,2622.21,1139.54,329.21,0.43
56.7,14.0,2641.48,1147.93,325.1,0.43
56.7,14.1,2684.98,1167.21,332.21,0.43
56.7,14.2,2890.41,1262.98,381.47,0.44
56.7,14.3,2647.4,1150.59,312.64,0.43
56.7,14.4,2618.37,1137.82,307.42,0.43
56.7,14.5,2621.36,1138.98,311.53,0.43
56.7,14.6,2730.62,1186.38,340.43,0.43
56.7,14.7,2666.71,1159.63,333.08,0.43
56.7,14.8,2694.21,1171.13,347.39,0.43
56.7,14.9,2763.36,1200.75,357.66,0.43
56.7,15.0,2782.02,1208.27,352.97,0.43
56.7,15.1,2845.0,1235.43,367.27,0.43
56.7,15.2,2790.9,1211.78,363.1,0.43
56.7,15.3,2778.28,1205.85,358.67,0.43
56.7,15.4,2781.17,1206.66,359.78,0.43
56.7,15.5,2788.12,1209.38,370.01,0.43
56.7,15.6,2802.38,1216.19,360.83,0.43
56.7,15.7,2836.29,1231.53,380.93,0.43
56.7,15.8,2876.26,1249.8,387.85,0.43
56.7,15.9,2907.51,1263.64,391.48,0.43
56.7,16.0,2915.87,1267.92,387.95,0.43
56.7,16.1,2919.77,1270.53,405.37,0.44
56.7,16.2,2914.63,1268.54,408.11,0.44
56.8,12.3,3089.56,1346.04,424.63,0.44
56.8,12.4,3065.97,1336.59,433.35,0.44
56.8,12.5,3074.8,1340.73,452.69,0.44
56.8,12.6,3136.05,1367.09,460.13,0.44
56.8,12.7,3036.72,1319.58,437.96,0.43
56.8,12.8,2942.18,1279.75,423.12,0.43
56.8,12.9,2884.87,1254.78,410.82,0.43
56.8,13.0,2847.12,1239.51,393.12,0.44
56.8,13.1,2873.42,1248.44,406.6,0.43
56.8,13.2,2790.75,1211.79,392.02,0.43
56.8,13.3,2751.15,1193.98,387.91,0.43
56.8,13.4,2674.59,1161.27,363.18,0.43
56.8,13.5,2627.67,1140.5,354.16,0.43
56.8,13.6,2647.52,1149.28,350.12,0.43
56.8,13.7,2742.85,1190.22,358.62,0.43
56.8,13.8,2750.03,1194.73,360.47,0.43
56.8,13.9,2698.05,1171.03,351.47,0.43
56.8,14.0,2717.5,1180.6,344.96,0.43
56.8,14.1,2698.63,1172.77,335.78,0.43
56.8,14.2,2675.18,1162.1,327.38,0.43
56.8,14.3,2620.16,1137.87,313.28,0.43
56.8,14.4,2584.18,1122.33,303.32,0.43
56.8,14.5,2563.6,1114.02,303.37,0.43
56.8,14.6,2668.66,1159.02,321.67,0.43
56.8,14.7,2647.11,1148.72,320.63,0.43
56.8,14.8,2720.33,1181.27,331.23,0.43
56.8,14.9,2764.1,1199.63,350.63,0.43
56.8,15.0,2760.57,1197.09,351.6,0.43
56.8,15.1,2788.02,1211.22,354.64,0.43
56.8,15.2,2786.25,1208.56,356.7,0.43
56.8,15.3,2801.28,1214.54,357.03,0.43
56.8,15.4,2796.34,1212.38,353.63,0.43
56.8,15.5,2789.11,1208.32,345.7,0.43
56.8,15.6,2850.28,1234.98,363.56,0.43
56.8,15.7,2900.2,1257.18,382.4,0.43
56.8,15.8,2946.9,1278.22,396.07,0.43
56.8,15.9,2942.53,1276.99,402.27,0.43
56.8,16.0,2946.12,1279.37,406.24,0.43
56.8,16.1,2937.78,1276.29,404.97,0.43
56.8,16.2,2937.68,1277.17,404.62,0.43
56.8,16.3,2934.55,1276.67,402.53,0.44
56.9,12.2,3076.9,1339.85,442.52,0.44
56.9,12.3,3086.41,1344.9,423.11,0.44
56.9,12.4,3178.38,1386.06,441.27,0.44
56.9,12.5,3127.44,1360.08,434.77,0.43
56.9,12.6,3035.57,1318.47,435.47,0.43
56.9,12.7,3028.34,1316.17,434.04,0.43
56.9,12.8,2929.68,1273.71,420.86,0.43
56.9,12.9,2978.47,1293.22,425.48,0.43
56.9,13.0,2935.25,1274.46,423.18,0.43
56.9,13.1,2911.17,1263.76,422.58,0.43
56.9,13.2,2820.74,1223.52,407.55,0.43
56.9,13.3,2724.57,1182.02,383.81,0.43
56.9,13.4,2685.66,1164.85,375.38,0.43
56.9,13.5,2657.5,1153.24,361.4,0.43
56.9,13.6,2746.33,1193.26,371.03,0.43
56.9,13.7,2901.89,1264.88,401.5,0.44
56.9,13.8,2753.18,1194.79,363.67,0.43
56.9,13.9,2723.71,1181.81,353.58,0.43
56.9,14.0,2722.72,1182.13,340.4,0.43
56.9,14.1,2740.67,1189.45,349.6,0.43
56.9,14.2,2698.14,1170.61,342.5,0.43
56.9,14.3,2671.74,1159.44,323.57,0.43
56.9,14.4,2649.2,1149.21,314.98,0.43
56.9,14.5,2649.33,1149.82,320.09,0.43
56.9,14.6,2665.3,1156.53,320.55,0.43
56.9,14.7,2682.32,1163.09,320.64,0.43
56.9,14.8,2772.83,1202.94,337.2,0.43
56.9,14.9,2781.88,1205.43,340.38,0.43
56.9,15.0,2770.01,1200.0,340.25,0.43
56.9,15.1,2779.59,1203.69,343.59,0.43
56.9,15.2,2821.93,1221.44,358.25,0.43
56.9,15.3,2836.67,1227.93,355.54,0.43
56.9,15.4,2849.79,1233.33,355.32,0.43
56.9,15.5,2859.31,1237.43,357.9,0.43
56.9,15.6,2883.67,1248.81,366.14,0.43
56.9,15.7,2917.56,1264.07,374.54,0.43
56.9,15.8,2953.28,1279.98,396.6,0.43
56.9,15.9,2951.27,1279.85,400.79,0.43
56.9,16.0,2946.72,1278.75,405.26,0.43
56.9,16.1,2974.68,1291.44,406.82,0.43
56.9,16.2,3033.83,1318.06,422.12,0.43
56.9,16.3,3021.98,1314.25,398.84,0.43
57.0,12.2,3185.17,1386.99,440.61,0.44
57.0,12.3,3191.72,1390.66,429.1,0.44
57.0,12.4,3184.47,1383.5,426.09,0.43
57.0,12.5,3185.42,1383.62,436.99,0.43
57.0,12.6,3099.28,1346.28,431.03,0.43
57.0,12.7,3071.41,1334.6,437.43,0.43
57.0,12.8,3018.0,1311.38,424.35,0.43
57.0,12.9,2975.54,1291.56,406.17,0.43
57.0,13.0,2877.38,1248.7,394.75,0.43
57.0,13.1,2828.86,1228.26,387.85,0.43
57.0,13.2,2765.06,1199.18,387.07,0.43
57.0,13.3,2717.02,1177.67,384.76,0.43
57.0,13.4,2773.56,1202.58,395.37,0.43
57.0,13.5,2780.62,1205.95,397.38,0.43
57.0,13.6,2740.86,1189.75,378.97,0.43
57.0,13.7,2802.22,1218.73,374.0,0.43
57.0,13.8,2842.97,1234.36,370.1,0.43
57.0,13.9,2729.84,1183.83,352.17,0.43
57.0,14.0,2805.78,1218.27,366.15,0.43
57.0,14.1,2907.32,1266.23,391.25,0.44
57.0,14.2,2765.47,1198.51,338.92,0.43
57.0,14.3,2773.73,1201.78,328.48,0.43
57.0,14.4,2783.47,1206.17,326.05,0.43
57.0,14.5,2767.19,1199.38,326.56,0.43
57.0,14.6,2766.75,1199.23,322.74,0.43
57.0,14.7,2832.39,1229.02,340.14,0.43
57.0,14.8,2876.38,1249.71,357.12,0.43
57.0,14.9,2802.94,1216.1,342.9,0.43
57.0,15.0,2785.68,1208.24,342.54,0.43
57.0,15.1,2797.14,1210.88,345.75,0.43
57.0,15.2,2829.31,1224.87,363.64,0.43
57.0,15.3,2884.14,1248.68,370.38,0.43
57.0,15.4,2939.03,1273.35,381.6,0.43
57.0,15.5,2946.86,1276.46,384.89,0.43
57.0,15.6,2961.83,1283.82,381.22,0.43
57.0,15.7,2979.84,1291.99,386.89,0.43
57.0,15.8,3003.35,1302.67,407.67,0.43
57.0,15.9,3043.6,1320.48,429.06,0.43
57.0,16.0,3189.46,1387.15,448.97,0.43
57.0,16.1,3096.9,1344.85,438.87,0.43
57.0,16.2,3085.91,1340.9,422.77,0.43
57.0,16.3,3070.23,1334.54,424.52,0.43
57.0,16.4,3082.63,1341.23,424.48,0.44
57.1,12.1,3173.23,1381.53,457.51,0.44
57.1,12.2,3294.53,1435.96,458.86,0.44
57.1,12.3,3198.34,1389.38,427.08,0.43
57.1,12.4,3152.23,1369.73,426.53,0.43
57.1,12.5,3129.18,1360.17,428.78,0.43
57.1,12.6,3060.99,1329.32,426.38,0.43
57.1,12.7,3070.97,1334.65,434.53,0.43
57.1,12.8,3045.15,1322.88,427.71,0.43
57.1,12.9,2970.28,1289.89,414.42,0.43
57.1,13.0,2912.02,1263.9,400.81,0.43
57.1,13.1,2897.88,1257.05,392.93,0.43
57.1,13.2,2839.06,1231.46,380.7,0.43
57.1,13.3,2820.65,1222.53,385.49,0.43
57.1,13.4,2852.37,1236.23,397.59,0.43
57.1,13.5,2865.98,1242.17,405.88,0.43
57.1,13.6,2854.76,1237.57,407.9,0.43
57.1,13.7,2832.21,1228.26,389.75,0.43
57.1,13.8,2792.25,1211.15,371.96,0.43
57.1,13.9,2791.9,1210.6,363.89,0.43
57.1,14.0,3020.08,1312.37,415.46,0.43
57.1,14.1,2839.32,1233.74,365.92,0.43
57.1,14.2,2810.64,1217.88,361.46,0.43
57.1,14.3,2800.95,1214.23,349.78,0.43
57.1,14.4,2782.55,1205.07,331.75,0.43
57.1,14.5,2795.59,1209.8,334.43,0.43
57.1,14.6,2881.15,1250.05,359.02,0.43
57.1,14.7,2819.99,1220.48,346.07,0.43
57.1,14.8,2825.27,1223.65,355.08,0.43
57.1,14.9,2833.58,1227.66,349.78,0.43
57.1,15.0,2875.22,1245.63,356.38,0.43
57.1,15.1,2993.22,1300.33,365.89,0.43
57.1,15.2,2854.58,1235.16,352.25,0.43
57.1,15.3,2931.59,1268.62,370.84,0.43
57.1,15.4,3005.58,1301.47,392.07,0.43
57.1,15.5,3003.55,1301.0,395.86,0.43
57.1,15.6,3027.92,1312.37,400.35,0.43
57.1,15.7,3064.69,1328.74,401.28,0.43
57.1,15.8,3084.84,1338.33,399.85,0.43
57.1,15.9,3131.12,1358.94,428.23,0.43
57.1,16.0,3163.0,1374.69,446.71,0.43
57.1,16.1,3138.77,1363.69,441.83,0.43
57.1,16.2,3089.98,1342.77,422.49,0.43
57.1,16.3,3064.3,1332.01,415.28,0.43
57.1,16.4,3080.32,1339.78,416.36,0.43
57.2,12.0,3310.75,1440.76,506.07,0.44
57.2,12.1,3275.67,1425.96,492.37,0.44
57.2,12.2,3352.25,1458.31,494.78,0.44
57.2,12.3,3226.64,1400.12,458.45,0.43
57.2,12.4,3181.6,1380.62,426.02,0.43
57.2,12.5,3141.3,1362.65,424.78,0.43
57.2,12.6,3073.35,1333.16,425.44,0.43
57.2,12.7,3019.26,1310.07,420.88,0.43
57.2,12.8,2999.38,1301.11,411.57,0.43
57.2,12.9,2988.96,1296.01,400.91,0.43
57.2,13.0,2977.9,1291.77,393.42,0.43
57.2,13.1,3002.01,1302.67,399.87,0.43
57.2,13.2,2959.8,1283.93,386.39,0.43
57.2,13.3,2922.35,1266.57,372.01,0.43
57.2,13.4,2938.92,1273.81,385.47,0.43
57.2,13.5,2951.95,1279.49,405.55,0.43
57.2,13.6,2962.94,1284.01,421.23,0.43
57.2,13.7,2938.37,1273.67,415.16,0.43
57.2,13.8,2922.78,1266.22,405.35,0.43
57.2,13.9,2920.78,1265.75,394.07,0.43
57.2,14.0,2922.95,1265.9,399.29,0.43
57.2,14.1,2939.73,1274.18,388.85,0.43
57.2,14.2,2897.71,1254.76,380.04,0.43
57.2,14.3,2898.78,1254.27,384.93,0.43
57.2,14.4,2877.58,1244.62,382.14,0.43
57.2,14.5,2844.08,1230.2,372.53,0.43
57.2,14.6,2861.14,1239.64,371.62,0.43
57.2,14.7,2848.67,1232.05,363.74,0.43
57.2,14.8,2885.52,1248.46,385.16,0.43
