avg_speed,max_speed,data_points,first_date,last_date,station_id,name,lat,lon,height,last_updated
3.221983821782613,25.0,319071,2025-05-04,2025-05-04,71420,Göteborg A,57.7156,11.9924,3.038,2025-05-04 18:00:00
4.2002884480090055,19.0,284280,2025-05-04,2025-05-04,72420,Göteborg-Landvetter Flygplats,57.6764,12.2919,154.0,2025-05-04 18:00:00
2.7143775279956968,22.0,429441,2025-05-04,2025-05-04,74180,Hagshult,57.292,14.137,169.6,2025-05-04 18:00:00
6.10270982897276,28.3,250311,2025-05-04,2025-05-04,62260,Hallands Väderö A,56.4496,12.5453,9.172,2025-05-04 18:00:00
2.163895611120133,14.0,252479,2025-05-04,2025-05-04,135460,Hallhåxåsen A,63.7685,15.3279,375.391,2025-05-04 18:00:00
2.262791348126049,9.6,10726,2025-05-04,2025-05-04,75004,Hallsberg GBG,59.0604,15.0599,0.0,2025-05-04 18:00:00
4.446562251556743,26.0,247793,2025-05-04,2025-05-04,62410,Halmstad flygplats,56.6833,12.8167,31.0,2025-05-04 18:00:00
2.4066967659680736,19.0,304326,2025-05-04,2025-05-04,114410,Hamra A,61.6599,14.9918,453.588,2025-05-04 18:00:00
7.423782036861252,37.0,364502,2025-05-04,2025-05-04,64020,Hanö A,56.0135,14.8463,58.622,2025-05-04 18:00:00
2.509606500372565,12.9,140915,2025-05-04,2025-05-04,163960,Haparanda A,65.8237,24.1112,13.243,2025-05-04 18:00:00
4.44865930599369,21.4,252332,2025-05-04,2025-05-04,87140,Harstena A,58.2506,17.0074,5.0,2025-05-04 18:00:00
3.3883509369146716,18.8,257334,2025-05-04,2025-05-04,62040,Helsingborg A,56.0304,12.7628,43.07,2025-05-04 18:00:00
2.8109171202629146,10.3,9737,2025-05-04,2025-05-04,71001,Helsingborg GBG,56.0248,12.723,0.0,2025-05-04 18:00:00
2.756927537438181,24.0,144171,2025-05-04,2025-05-04,155970,Hemavan Flygplats,65.8077,15.0854,458.0,2025-05-04 18:00:00
5.973812429819851,32.9,307245,2025-05-04,2025-05-04,155960,Hemavan-Gierevarto A,65.7813,15.0623,793.504,2025-05-04 18:00:00
1.998228551853937,12.6,253973,2025-05-04,2025-05-04,138390,Hemling A,63.6503,18.5466,182.186,2025-05-04 18:00:00
2.2391759319816873,9.7,1529,2025-05-04,2025-05-04,13023,Hinnakullsberg,56.9229,13.0655,0.0,2025-05-04 18:00:00
5.918541388148225,24.7,135389,2025-05-04,2025-05-04,68560,Hoburg A,56.9209,18.1506,34.118,2025-05-04 18:00:00
4.772156762295081,21.6,171776,2025-05-04,2025-05-04,140460,Holmön A,63.807,20.8645,6.535,2025-05-04 18:00:00
2.470154487988886,15.8,252641,2025-05-04,2025-05-04,75520,Horn A,57.8861,15.8623,89.822,2025-05-04 18:00:00
2.3849457017325704,10.8,12063,2025-05-04,2025-05-04,8006,Hossmo,56.6383,16.2156,0.0,2025-05-04 18:00:00
1.7739589461593572,11.6,249867,2025-05-04,2025-05-04,146050,Hoting A,64.0875,16.2356,241.55,2025-05-04 18:00:00
4.616696418609841,18.4,17926,2025-05-04,2025-05-04,11044,Hov,56.4337,12.7222,0.0,2025-05-04 18:00:00
2.3482388360046222,14.7,254434,2025-05-04,2025-05-04,125440,Hunge A,62.7504,15.0845,343.238,2025-05-04 18:00:00
3.142021520508523,18.8,252968,2025-05-04,2025-05-04,83190,Hällum A,58.3218,13.0379,70.071,2025-05-04 18:00:00
2.777556551075715,19.0,126567,2025-05-04,2025-05-04,63160,Hästveda,56.28,13.9431,102.5,2025-05-04 18:00:00
